feature,mean,std
feature_1,0.9880704752503335,0.56262687427852
feature_2,0.0014726045160983994,1.0083682929022098
feature_3,0.0028247264036963316,1.006470570920091
feature_4,0.997515471696409,0.5980697868151725
feature_5,0.0005291457583201645,1.0071986327723053
feature_6,0.9895314371821284,0.4719581579579888
feature_7,0.0032537995776487877,1.0069793261771927
feature_8,-0.003595180284339931,1.0047940849422476
feature_9,0.9999246936404705,1.0274655415724196
feature_10,0.9930562778756767,0.4985983754830449
feature_11,0.0006505156771995462,1.0098674229973297
feature_12,0.0001348410451038944,1.0087507719707867
feature_13,0.998984847460985,1.0499111311346232
feature_14,0.9899705651248991,0.48658127778446986
feature_15,0.0006933133586861368,1.007204716442088
feature_16,0.0005663267177209491,1.005565031228577
feature_17,0.9986045676970482,1.1929987222912435
feature_18,0.9858986660227179,0.5065276217934921
feature_19,0.002547470839795569,1.0106066755998215
feature_20,0.0022250807521764365,1.0042998808756183
feature_21,1.0037636811041832,1.4018909800983967
feature_22,1.033124425023794,0.6670505819811665
feature_23,1.0237544553096591,0.37693003088494026
feature_24,1.05022593687132,0.16511318863605623
feature_25,1.0088913608199357,0.3946918266087673
feature_26,0.9725581035418809,0.525522000378309
feature_27,1.032304156102836,0.3627935078107125
feature_28,0.9590565653561056,0.31052631489850213
